 ,Country,2016,2017,2018,1Q19,2Q19,3Q19,4Q19,2019,1Q20,2Q20,3Q20,4Q20,2020
,(b) Total non-OPEC liquids production and OPEC NGLs,63.80263987978143,64.64570603835617,67.74007489863014,69.13870200000001,69.184902,69.48730200000001,71.19690200000001,69.75686583561645,71.483347,66.964106,67.48574,67.291797,68.30123395355191
,"OPEC crude oil production 
(secondary sources)",31.663242,31.483833,31.344268,29.958324,29.451974,28.86207,29.095626,29.33832,28.264134,,,,
,Total liquids production,95.46588187978143,96.12953903835617,99.08434289863014,99.09702600000001,98.636876,98.34937200000002,100.292528,99.09518583561645,99.747481,,,,
,Balance (stock change and miscellaneous),-0.23164056601588356,-1.290930349729848,0.24807092563317212,0.3441755474575814,0.07549181804373006,-2.178571262847683,-0.4992384936872867,-0.5712684079124841,6.825303432561569,,,,
,"OECD closing stock levels, mb",,,,,,,,,,,,,
,Commercial,3007.2929999999997,2859.54,2873.147,2876.651,2935.883,2944.6070000000004,2901.6949999999997,2901.6949999999997,,,,,
,SPR,1600.951,1568.923,1551.7230000000002,1556.9219999999998,1548.807,1544.476,1535.34,1535.34,,,,,
,Total,4608.244,4428.463,4424.87,4433.572999999999,4484.69,4489.0830000000005,4437.035,4437.035,,,,,
,Oil-on-water,1102.4556376,1025.0654376,1058.4556376,1013.4556376000002,995.4556376000002,1012.4556376000002,1011.4556376000002,1011.4556376000002,,,,,
,"Days of forward consumption in OECD, days",,,,,,,,,,,,,
,Commercial onland stocks,63.17037082011243,59.567059921364056,59.97371476071952,61.014955956923735,60.58826796491518,60.974273991307854,63.72960595920827,66.07445191342435,,,,,
,SPR,33.629137012865,32.6822252365787,32.390473786982696,33.022958731652054,31.962967714291203,31.98162022877728,33.72050240063509,34.961203365879925,,,,,
,Total,96.79950783297744,92.24928515794275,92.36418854770221,94.0379146885758,92.55123567920639,92.95589422008513,97.45010835984337,101.03565527930428,,,,,
,Memo items,,,,,,,,,,,,,
,(a) - (b),31.894882566015887,32.77476334972985,31.096197074366827,29.614148452542423,29.376482181956277,31.040641262847686,29.594864493687282,29.90958840791248,21.43883056743843,19.733652492029194,26.796939958569524,30.009968439909784,24.518702554269495
,Note:  Non-OPEC liquids production includes the Republic Ecuador.,,,,,,,,,,,,,
,Totals may not add up due to independent rounding.,,,,,,,,,,,,,
,Source: OPEC.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
